facility_id,file_year,payment_reduction
010001,2026,No
010005,2026,Yes
010006,2026,No
010007,2026,Yes
010008,2026,No
010011,2026,No
010012,2026,Yes
010016,2026,Yes
010018,2026,No
010019,2026,No
010021,2026,Yes
010022,2026,No
010023,2026,Yes
010024,2026,Yes
010029,2026,Yes
010033,2026,No
010034,2026,No
010035,2026,No
010036,2026,No
010039,2026,Yes
010040,2026,Yes
010044,2026,No
010045,2026,Yes
010046,2026,No
010049,2026,No
010051,2026,No
010052,2026,No
010055,2026,No
010056,2026,No
010058,2026,Yes
010059,2026,No
010061,2026,Yes
010062,2026,No
010065,2026,No
010073,2026,Yes
010078,2026,Yes
010079,2026,No
010083,2026,No
010085,2026,No
010086,2026,Yes
010087,2026,Yes
010089,2026,No
010090,2026,No
010091,2026,No
010092,2026,Yes
010095,2026,No
010097,2026,No
010099,2026,No
010100,2026,Yes
010101,2026,Yes
010103,2026,No
010104,2026,No
010108,2026,Yes
010110,2026,No
010112,2026,Yes
010113,2026,Yes
010114,2026,Yes
010118,2026,No
010120,2026,Yes
010125,2026,No
010126,2026,No
010128,2026,No
010129,2026,Yes
010130,2026,Yes
010131,2026,No
010138,2026,No
010139,2026,No
010144,2026,No
010148,2026,No
010149,2026,Yes
010150,2026,No
010157,2026,No
010158,2026,No
010164,2026,No
010168,2026,No
010169,2026,No
010173,2026,Yes
020001,2026,Yes
020006,2026,No
020008,2026,No
020012,2026,Yes
020017,2026,No
020018,2026,No
020024,2026,Yes
020026,2026,Yes
030002,2026,Yes
030006,2026,Yes
030007,2026,No
030010,2026,No
030011,2026,No
030012,2026,No
030013,2026,No
030014,2026,No
030016,2026,Yes
030022,2026,No
030023,2026,No
030024,2026,No
030030,2026,No
030036,2026,No
030037,2026,No
030038,2026,No
030043,2026,No
030055,2026,No
030061,2026,Yes
030062,2026,Yes
030064,2026,No
030065,2026,Yes
030069,2026,No
030071,2026,Yes
030073,2026,No
030074,2026,Yes
030078,2026,No
030083,2026,No
030084,2026,No
030085,2026,No
030087,2026,No
030088,2026,No
030089,2026,No
030092,2026,No
030093,2026,No
030094,2026,No
030101,2026,No
030103,2026,No
030105,2026,Yes
030107,2026,No
030108,2026,No
030110,2026,No
030111,2026,No
030112,2026,No
030113,2026,No
030114,2026,No
030115,2026,No
030117,2026,No
030119,2026,No
030121,2026,No
030122,2026,No
030123,2026,No
030130,2026,No
030134,2026,No
030136,2026,No
030138,2026,No
030139,2026,Yes
030146,2026,No
030147,2026,No
030148,2026,No
030152,2026,No
030153,2026,Yes
030154,2026,Yes
030155,2026,No
040001,2026,No
040002,2026,No
040004,2026,No
040007,2026,No
040010,2026,No
040011,2026,No
040014,2026,No
040016,2026,Yes
040017,2026,Yes
040018,2026,No
040019,2026,No
040020,2026,Yes
040022,2026,No
040026,2026,No
040027,2026,No
040029,2026,Yes
040036,2026,No
040039,2026,No
040041,2026,Yes
040050,2026,Yes
040051,2026,Yes
040055,2026,Yes
040062,2026,No
040067,2026,No
040069,2026,No
040071,2026,Yes
040072,2026,No
040076,2026,No
040078,2026,No
040084,2026,No
040088,2026,Yes
040114,2026,No
040118,2026,Yes
040119,2026,Yes
040132,2026,No
040134,2026,Yes
040137,2026,No
040147,2026,No
040153,2026,No
040154,2026,Yes
040156,2026,No
040161,2026,No
040164,2026,No
050002,2026,Yes
050006,2026,No
050007,2026,No
050008,2026,Yes
050009,2026,No
050013,2026,No
050014,2026,No
050017,2026,No
050022,2026,No
050024,2026,No
050025,2026,No
050026,2026,No
050028,2026,No
050030,2026,Yes
050036,2026,No
050038,2026,Yes
050039,2026,No
050040,2026,Yes
050042,2026,No
050043,2026,No
050045,2026,Yes
050047,2026,No
050054,2026,Yes
050055,2026,No
050056,2026,Yes
050057,2026,No
050058,2026,No
050060,2026,Yes
050063,2026,No
050067,2026,Yes
050069,2026,No
050070,2026,No
050071,2026,Yes
050072,2026,No
050073,2026,No
050075,2026,No
050076,2026,Yes
050077,2026,No
050078,2026,No
050082,2026,No
050084,2026,No
050089,2026,No
050090,2026,Yes
050091,2026,Yes
050093,2026,Yes
050099,2026,No
050100,2026,Yes
050101,2026,No
050102,2026,No
050103,2026,No
050104,2026,No
050107,2026,No
050108,2026,No
050110,2026,Yes
050112,2026,Yes
050113,2026,No
050115,2026,No
050116,2026,No
050118,2026,Yes
050121,2026,No
050122,2026,No
050124,2026,No
050125,2026,No
050126,2026,No
050127,2026,No
050128,2026,No
050129,2026,No
050131,2026,No
050132,2026,No
050133,2026,No
050135,2026,No
050136,2026,Yes
050137,2026,No
050138,2026,No
050139,2026,No
050140,2026,No
050145,2026,Yes
050149,2026,No
050150,2026,No
050152,2026,No
050158,2026,No
050159,2026,Yes
050167,2026,No
050168,2026,No
050169,2026,Yes
050174,2026,No
050179,2026,No
050180,2026,Yes
050191,2026,No
050192,2026,Yes
050194,2026,Yes
050195,2026,No
050197,2026,No
050204,2026,No
050211,2026,No
050222,2026,Yes
050224,2026,No
050226,2026,No
050228,2026,Yes
050230,2026,Yes
050231,2026,No
050232,2026,No
050234,2026,Yes
050235,2026,No
050236,2026,Yes
050238,2026,Yes
050239,2026,No
050242,2026,No
050243,2026,No
050245,2026,No
050248,2026,No
050254,2026,No
050257,2026,No
050261,2026,Yes
050262,2026,No
050272,2026,Yes
050276,2026,No
050278,2026,No
050279,2026,No
050280,2026,No
050281,2026,No
050283,2026,No
050289,2026,No
050290,2026,No
050291,2026,No
050292,2026,No
050295,2026,No
050298,2026,Yes
050300,2026,Yes
050301,2026,No
050305,2026,No
050308,2026,No
050309,2026,No
050313,2026,No
050315,2026,No
050320,2026,Yes
050324,2026,No
050327,2026,No
050329,2026,No
050334,2026,No
050335,2026,Yes
050336,2026,Yes
050342,2026,Yes
050348,2026,No
050350,2026,Yes
050351,2026,Yes
050352,2026,No
050353,2026,No
050357,2026,No
050360,2026,No
050367,2026,No
050373,2026,No
050376,2026,Yes
050378,2026,Yes
050380,2026,No
050382,2026,No
050390,2026,No
050393,2026,No
050394,2026,Yes
050396,2026,No
050407,2026,Yes
050411,2026,Yes
050414,2026,No
050417,2026,No
050424,2026,Yes
050425,2026,No
050426,2026,No
050438,2026,Yes
050441,2026,No
050444,2026,No
050454,2026,No
050455,2026,No
050457,2026,No
050464,2026,No
050468,2026,No
050471,2026,No
050481,2026,Yes
050485,2026,Yes
050488,2026,No
050492,2026,Yes
050496,2026,Yes
050498,2026,No
050503,2026,No
050506,2026,No
050510,2026,No
050512,2026,No
050515,2026,Yes
050516,2026,No
050517,2026,No
050523,2026,No
050526,2026,Yes
050528,2026,No
050534,2026,No
050537,2026,No
050541,2026,No
050543,2026,No
050546,2026,Yes
050549,2026,No
050551,2026,Yes
050557,2026,No
050561,2026,No
050567,2026,No
050570,2026,No
050573,2026,No
050580,2026,No
050581,2026,No
050586,2026,No
050588,2026,No
050589,2026,No
050590,2026,No
050597,2026,No
050599,2026,Yes
050603,2026,No
050604,2026,Yes
050608,2026,No
050609,2026,No
050624,2026,Yes
050625,2026,No
050633,2026,Yes
050636,2026,No
050641,2026,No
050663,2026,No
050668,2026,No
050674,2026,No
050677,2026,Yes
050678,2026,Yes
050684,2026,No
050686,2026,No
050689,2026,No
050690,2026,No
050696,2026,No
050697,2026,No
050701,2026,No
050704,2026,Yes
050708,2026,No
050709,2026,No
050710,2026,Yes
050714,2026,No
050717,2026,Yes
050723,2026,No
050726,2026,No
050735,2026,No
050736,2026,Yes
050737,2026,Yes
050738,2026,No
050739,2026,No
050740,2026,No
050744,2026,Yes
050745,2026,Yes
050746,2026,Yes
050747,2026,No
050748,2026,No
050755,2026,No
050758,2026,No
050760,2026,No
050761,2026,No
050763,2026,No
050764,2026,No
050765,2026,No
050766,2026,No
050767,2026,No
050769,2026,Yes
050770,2026,No
050771,2026,Yes
050772,2026,No
050775,2026,No
050776,2026,No
050777,2026,No
050778,2026,No
050779,2026,No
050780,2026,No
050782,2026,Yes
050783,2026,No
050784,2026,No
050785,2026,No
050854,2026,Yes
050855,2026,Yes
060001,2026,No
060003,2026,No
060004,2026,No
060006,2026,No
060008,2026,No
060009,2026,No
060010,2026,No
060011,2026,No
060012,2026,No
060013,2026,No
060014,2026,No
060015,2026,No
060020,2026,No
060022,2026,No
060023,2026,No
060024,2026,No
060027,2026,Yes
060028,2026,No
060030,2026,No
060031,2026,No
060032,2026,No
060034,2026,No
060044,2026,Yes
060049,2026,No
060054,2026,Yes
060064,2026,No
060065,2026,No
060071,2026,No
060075,2026,No
060076,2026,No
060096,2026,No
060100,2026,Yes
060103,2026,No
060104,2026,No
060107,2026,No
060112,2026,No
060113,2026,No
060114,2026,No
060116,2026,Yes
060117,2026,No
060118,2026,No
060119,2026,Yes
060124,2026,No
060125,2026,No
060126,2026,No
060128,2026,No
060129,2026,No
060130,2026,No
060131,2026,Yes
060132,2026,No
060133,2026,No
070002,2026,Yes
070003,2026,Yes
070004,2026,No
070005,2026,No
070006,2026,No
070007,2026,No
070008,2026,No
070010,2026,No
070011,2026,No
070012,2026,No
070016,2026,No
070017,2026,No
070018,2026,No
070020,2026,No
070021,2026,No
070022,2026,No
070024,2026,No
070025,2026,No
070027,2026,No
070028,2026,No
070029,2026,No
070031,2026,No
070033,2026,No
070034,2026,No
070035,2026,No
070036,2026,Yes
070038,2026,No
080001,2026,No
080003,2026,No
080004,2026,No
080006,2026,No
080007,2026,No
080009,2026,No
090001,2026,No
090003,2026,Yes
090004,2026,No
090005,2026,No
090008,2026,No
090011,2026,No
100001,2026,No
100002,2026,No
100006,2026,No
100007,2026,No
100008,2026,No
100012,2026,No
100014,2026,No
100017,2026,No
100018,2026,No
100019,2026,No
100022,2026,No
100023,2026,No
100025,2026,No
100026,2026,No
100028,2026,Yes
100029,2026,No
100030,2026,Yes
100032,2026,No
100034,2026,Yes
100035,2026,No
100038,2026,No
100039,2026,No
100040,2026,No
100043,2026,No
100044,2026,No
100045,2026,No
100046,2026,No
100047,2026,No
100049,2026,No
100050,2026,No
100051,2026,No
100052,2026,No
100053,2026,No
100054,2026,No
100055,2026,Yes
100057,2026,No
100062,2026,No
100063,2026,No
100067,2026,No
100068,2026,No
100069,2026,No
100071,2026,No
100072,2026,No
100073,2026,No
100075,2026,No
100077,2026,No
100080,2026,No
100084,2026,Yes
100086,2026,No
100087,2026,No
100088,2026,No
100090,2026,No
100092,2026,No
100093,2026,No
100099,2026,No
100105,2026,No
100107,2026,Yes
100109,2026,No
100110,2026,No
100113,2026,No
100117,2026,No
100118,2026,No
100121,2026,Yes
100122,2026,No
100124,2026,No
100125,2026,No
100126,2026,No
100127,2026,No
100128,2026,Yes
100130,2026,No
100131,2026,No
100132,2026,No
100134,2026,No
100135,2026,No
100137,2026,No
100140,2026,No
100142,2026,Yes
100150,2026,No
100151,2026,No
100154,2026,No
100156,2026,No
100157,2026,Yes
100161,2026,Yes
100166,2026,No
100167,2026,No
100168,2026,No
100173,2026,Yes
100175,2026,Yes
100176,2026,No
100177,2026,No
100179,2026,No
100180,2026,No
100181,2026,No
100183,2026,No
100187,2026,No
100189,2026,No
100191,2026,No
100200,2026,No
100204,2026,No
100206,2026,No
100209,2026,No
100211,2026,No
100212,2026,No
100213,2026,No
100217,2026,No
100220,2026,No
100223,2026,No
100224,2026,No
100226,2026,No
100228,2026,No
100230,2026,No
100231,2026,No
100232,2026,No
100236,2026,No
100238,2026,No
100242,2026,No
100243,2026,No
100244,2026,No
100246,2026,No
100248,2026,No
100249,2026,No
100252,2026,No
100253,2026,No
100254,2026,No
100256,2026,No
100258,2026,Yes
100259,2026,No
100260,2026,No
100264,2026,No
100265,2026,No
100266,2026,No
100267,2026,No
100268,2026,No
100269,2026,No
100275,2026,No
100276,2026,No
100277,2026,No
100281,2026,No
100284,2026,No
100285,2026,No
100286,2026,No
100287,2026,No
100288,2026,No
100289,2026,No
100290,2026,No
100291,2026,No
100292,2026,No
100296,2026,Yes
100298,2026,Yes
100299,2026,No
100302,2026,Yes
100307,2026,No
100313,2026,No
100314,2026,No
100315,2026,No
100316,2026,No
100319,2026,No
100320,2026,No
100321,2026,No
100329,2026,No
100330,2026,Yes
100350,2026,No
100359,2026,No
100360,2026,No
100361,2026,No
100362,2026,No
100363,2026,No
100364,2026,No
100365,2026,No
110001,2026,No
110002,2026,No
110003,2026,No
110005,2026,Yes
110006,2026,Yes
110007,2026,No
110008,2026,Yes
110010,2026,Yes
110011,2026,Yes
110015,2026,No
110016,2026,No
110018,2026,No
110023,2026,Yes
110024,2026,Yes
110025,2026,Yes
110027,2026,Yes
110028,2026,No
110029,2026,Yes
110030,2026,No
110031,2026,No
110032,2026,Yes
110034,2026,Yes
110035,2026,No
110036,2026,No
110038,2026,Yes
110041,2026,No
110042,2026,No
110043,2026,Yes
110044,2026,No
110045,2026,Yes
110046,2026,No
110050,2026,No
110051,2026,No
110054,2026,Yes
110064,2026,Yes
110069,2026,No
110071,2026,No
110073,2026,Yes
110074,2026,No
110075,2026,No
110076,2026,Yes
110078,2026,Yes
110079,2026,Yes
110082,2026,No
110083,2026,No
110086,2026,No
110087,2026,No
110089,2026,No
110091,2026,No
110092,2026,Yes
110095,2026,No
110100,2026,No
110101,2026,No
110104,2026,No
110105,2026,No
110107,2026,No
110109,2026,No
110111,2026,No
110113,2026,No
110121,2026,No
110122,2026,No
110124,2026,No
110125,2026,No
110128,2026,No
110129,2026,No
110132,2026,No
110142,2026,No
110143,2026,No
110146,2026,No
110150,2026,Yes
110161,2026,Yes
110164,2026,No
110165,2026,No
110168,2026,No
110177,2026,No
110184,2026,Yes
110190,2026,No
110191,2026,No
110192,2026,No
110194,2026,No
110198,2026,Yes
110200,2026,No
110201,2026,No
110209,2026,No
110215,2026,No
110225,2026,No
110226,2026,No
110229,2026,No
110230,2026,No
110233,2026,No
110234,2026,No
110236,2026,No
110237,2026,No
110252,2026,Yes
120001,2026,Yes
120002,2026,Yes
120005,2026,No
120006,2026,No
120007,2026,No
120011,2026,Yes
120014,2026,Yes
120019,2026,Yes
120022,2026,Yes
120026,2026,No
120028,2026,Yes
130002,2026,No
130003,2026,No
130006,2026,No
130007,2026,No
130013,2026,Yes
130014,2026,No
130018,2026,No
130025,2026,No
130028,2026,No
130049,2026,No
130063,2026,No
130065,2026,No
130066,2026,No
130071,2026,No
130073,2026,No
130074,2026,Yes
140001,2026,Yes
