facility_id,hospital_name,address,city,state,zip_code,county,phone_number,hospital_type,hospital_ownership,emergency_services,beds,lat,lon,in_2011_data,in_2022_data,has_ownership_conflict_2022
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care,Government - Hospital District or Authority,1.0,377.0,31.214058,-85.361725,1,1,0
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care,Government - Hospital District or Authority,1.0,193.0,,,1,1,0
010006,NORTH ALABAMA MEDICAL CENTER,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care,Government - Hospital District or Authority,1.0,314.0,34.802756,-87.652191,1,1,0
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care,Voluntary Non-Profit - Private,1.0,64.0,31.291972,-86.255415,1,1,0
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care,Proprietary,1.0,49.0,31.692595,-86.266156,1,1,0
010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,Proprietary,,,,,1,1,0
010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,Acute Care Hospitals,Government - Hospital District or Authority,1.0,,,,1,1,0
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care,Voluntary Non-Profit - Private,1.0,328.0,33.595351,-86.665182,1,1,0
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care,Proprietary,1.0,115.0,,,1,1,0
010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,Proprietary,,,,,1,1,0
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care,Voluntary Non-Profit - Private,1.0,239.0,33.253679,-86.814261,1,1,0
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care,Voluntary Non-Profit - Private,1.0,11.0,33.503137,-86.802401,1,1,0
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care,Government - Hospital District or Authority,1.0,181.0,34.748249,-87.698866,1,1,0
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care,Government - Hospital District or Authority,1.0,89.0,31.451345,-85.630966,1,1,0
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care,Voluntary Non-Profit - Private,1.0,45.0,34.162761,-85.65142,1,1,0
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care,Government - Hospital District or Authority,1.0,400.0,32.327144,-86.276764,1,1,0
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care,Voluntary Non-Profit - Private,1.0,262.0,32.366606,-86.285155,1,1,0
010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,Voluntary Non-Profit - Other,1.0,,,,1,1,0
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,Government - Hospital District or Authority,1.0,,,,1,1,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care,Government - Hospital District or Authority,1.0,345.0,32.638055,-85.404003,1,1,0
