measure_id,measure_name,topic,file_year
LEGACY2011_MORTALITY_HEART_ATTACK,Mortality Rate - Heart Attack (2011),Legacy_2011,2011
LEGACY2011_MORTALITY_HEART_FAILURE,Mortality Rate - Heart Failure (2011),Legacy_2011,2011
LEGACY2011_MORTALITY_PNEUMONIA,Mortality Rate - Pneumonia (2011),Legacy_2011,2011
LEGACY2011_READMISSION_HEART_ATTACK,Readmission Rate - Heart Attack (2011),Legacy_2011,2011
LEGACY2011_READMISSION_HEART_FAILURE,Readmission Rate - Heart Failure (2011),Legacy_2011,2011
LEGACY2011_READMISSION_PNEUMONIA,Readmission Rate - Pneumonia (2011),Legacy_2011,2011
COMPLICATIONS_AND_DEATHS__COMP_HIP_KNEE__DENOMINATOR,Rate of complications for hip/knee replacement patients (Denominator),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__COMP_HIP_KNEE__LOWER_ESTIMATE,Rate of complications for hip/knee replacement patients (Lower Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__COMP_HIP_KNEE__HIGHER_ESTIMATE,Rate of complications for hip/knee replacement patients (Higher Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__HYBRID_HWM__DENOMINATOR,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate (Denominator),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__HYBRID_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__HYBRID_HWM__LOWER_ESTIMATE,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate (Lower Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__HYBRID_HWM__HIGHER_ESTIMATE,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate (Higher Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_AMI__DENOMINATOR,Death rate for heart attack patients (Denominator),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_AMI,Death rate for heart attack patients,Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_AMI__LOWER_ESTIMATE,Death rate for heart attack patients (Lower Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_AMI__HIGHER_ESTIMATE,Death rate for heart attack patients (Higher Estimate),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_CABG__DENOMINATOR,Death rate for CABG surgery patients (Denominator),Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_CABG,Death rate for CABG surgery patients,Complications_and_Deaths,2026
COMPLICATIONS_AND_DEATHS__MORT_30_CABG__LOWER_ESTIMATE,Death rate for CABG surgery patients (Lower Estimate),Complications_and_Deaths,2026
