,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2022,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.306,8.0,26.14,17379.0,0.644,49.0,76.136,101664.0,0.476,9925.0,5.0,10.505,0.912,8.0,8.775,101664.0,0.0,216.0,0.0,2.014,135.0,5.0,4.071,1.228
1,MARSHALL MEDICAL CENTERS (010005),2022,Acute Care,Government - Hospital District or Authority,193.0,,,AL,2.35,11.0,4.68,8243.0,0.86,9.0,10.462,35147.0,3.311,3657.0,8.0,2.416,0.0,0.0,1.851,37649.0,,36.0,0.0,0.312,87.0,1.0,2.497,0.4
2,NORTH ALABAMA MEDICAL CENTER (010006),2022,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.602,9.0,14.958,11507.0,0.08,2.0,24.864,58163.0,0.507,7280.0,4.0,7.893,1.64,7.0,4.268,61437.0,,35.0,0.0,0.371,83.0,2.0,2.295,0.871
3,MIZELL MEMORIAL HOSPITAL (010007),2022,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,2.0,0.793,1452.0,0.41,1.0,2.442,5470.0,,264.0,0.0,0.161,,0.0,0.128,5557.0,,,,,6.0,0.0,0.159,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2022,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,0.0,0.256,471.0,,0.0,0.373,2034.0,,26.0,0.0,0.015,,0.0,0.067,2878.0,,,,,,,,
5,ST. VINCENT'S EAST (010011),2022,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.927,14.0,15.099,11728.0,0.607,34.0,55.978,81320.0,0.728,11395.0,9.0,12.355,1.346,11.0,8.17,81320.0,,55.0,1.0,0.504,138.0,1.0,3.729,0.268
6,DEKALB REGIONAL MEDICAL CENTER (010012),2022,Acute Care,Proprietary,115.0,,,AL,0.368,1.0,2.715,3907.0,0.477,2.0,4.19,10532.0,,1042.0,2.0,0.746,,3.0,0.413,10532.0,,31.0,0.0,0.352,26.0,0.0,0.712,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2022,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.58,6.0,10.349,11622.0,0.254,5.0,19.667,42579.0,0.429,8498.0,3.0,6.996,1.664,6.0,3.606,42579.0,,18.0,0.0,0.151,122.0,1.0,3.51,0.285
8,CALLAHAN EYE HOSPITAL (010018),2022,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,0.0,0.078,309.0,,,,,,0.0,0.006,309.0,,,,,,,,
9,HELEN KELLER HOSPITAL (010019),2022,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.484,3.0,6.2,8682.0,0.483,6.0,12.419,29144.0,2.523,4508.0,8.0,3.171,4.494,8.0,1.78,31212.0,,53.0,0.0,0.507,63.0,0.0,1.583,0.0
